location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
South Africa,32540997.0,20647974.0,1641525.0,60041996.0,Africa,-30.559482,22.937506,1163507058.0,33876767.0,3669837.0,99333.0
South Korea,119929458.0,44907445.0,32102960.0,51305184.0,Asia,35.907757,127.766922,197187291.0,1414217.0,5539649.0,9646.0
Spain,93346088.0,41089269.0,24114643.0,46745211.0,Europe,40.463667,-3.74922,2319223652.0,43800035.0,11266346.0,101733.0
Sri Lanka,38773496.0,16951559.0,7563334.0,21497306.0,Asia,7.873054,80.771797,150597345.0,3180006.0,654336.0,16361.0
Sudan,5711034.0,5126250.0,,44909351.0,Africa,12.862807,30.217636,19929124.0,1369616.0,61656.0,4865.0
Suriname,503479.0,266903.0,46916.0,591798.0,South America,3.919305,-56.027783,14744577.0,306803.0,78654.0,1319.0
Sweden,20757514.0,7810784.0,5046997.0,10160159.0,Europe,60.128161,18.643501,529313147.0,7646033.0,2462952.0,17949.0
Switzerland,15593678.0,6079046.0,3613227.0,8715494.0,Europe,46.818188,8.227512,449872194.0,5445642.0,3008537.0,13364.0
Syria,3264756.0,2239981.0,3046.0,18275704.0,Asia,34.802075,38.996815,14508393.0,910793.0,55193.0,3105.0
Taiwan,48565707.0,19399436.0,11065302.0,23855008.0,Asia,23.69781,120.960515,5005250.0,226789.0,21001.0,853.0
Tajikistan,9279471.0,4916961.0,2386.0,9749625.0,Asia,38.861034,71.276093,8777371.0,63466.0,17786.0,125.0
Tanzania,5031070.0,3595010.0,,61498438.0,Africa,-6.369028,34.888822,5145287.0,132183.0,33726.0,800.0
Thailand,125940785.0,54375238.0,21675963.0,69950844.0,Asia,15.870032,100.992541,453943356.0,4223282.0,3111871.0,23514.0
Togo,2734547.0,1549440.0,,8478242.0,Africa,8.619543,0.824782,8735462.0,83563.0,36843.0,272.0
Tokelau,1936.0,968.0,,1368.0,Oceania,-8.967363,-171.855881,0.0,0.0,0.0,0.0
Tonga,147193.0,76910.0,,106759.0,Oceania,-21.178986,-175.198242,11565.0,0.0,1220.0,0.0
Trinidad and Tobago,1534637.0,743725.0,140795.0,1403374.0,North America,10.691803,-61.222503,20716285.0,582937.0,131378.0,3669.0
Tunisia,13018888.0,7167040.0,1155398.0,11935764.0,Africa,33.886917,9.537499,239749300.0,8017800.0,1017907.0,27989.0
Turkey,146243976.0,57734779.0,35611732.0,85042736.0,Asia,38.963745,35.243322,2943052699.0,26265599.0,13635656.0,95954.0
Turkmenistan,7580976.0,4374694.0,,6117933.0,Asia,38.969719,59.556278,0.0,0.0,0.0,0.0
Turks and Caicos Islands,68176.0,31165.0,,39226.0,North America,21.694025,-71.797928,1356836.0,9727.0,5868.0,36.0
Tuvalu,12114.0,6230.0,,11925.0,Oceania,-7.109535,177.64933,0.0,0.0,0.0,0.0
Uganda,17060289.0,14054059.0,,47123533.0,Africa,1.373333,32.290275,42238261.0,869116.0,163559.0,3599.0
Ukraine,31683310.0,15729617.0,752581.0,43466822.0,Europe,48.379433,31.16558,1206914536.0,27999742.0,5040518.0,112459.0
United Arab Emirates,24303054.0,9890548.0,4858237.0,9991083.0,Asia,23.424076,53.847818,292454393.0,875852.0,883985.0,2302.0
United Kingdom,140315139.0,52692089.0,38458430.0,68207114.0,Europe,55.378051,-3.435973,3568300245.0,68899782.0,18588857.0,161507.0
United States,556980091.0,254551489.0,95973403.0,332915074.0,North America,37.09024,-95.712891,19919516571.0,332451233.0,79406601.0,963819.0
Uruguay,7826403.0,2964483.0,2061061.0,3485152.0,South America,-32.522779,-55.765835,145362452.0,1930452.0,859186.0,7069.0
Uzbekistan,42121870.0,18446210.0,,33935765.0,Asia,41.377491,64.585262,71136043.0,515120.0,237045.0,1637.0
Vanuatu,199464.0,114284.0,,314464.0,Oceania,-15.376706,166.959158,2217.0,323.0,95.0,1.0
Venezuela,37860994.0,22157232.0,410887.0,28704947.0,South America,6.42375,-66.58973,144831023.0,1620650.0,517164.0,5658.0
Vietnam,200179247.0,79660025.0,42917889.0,98168829.0,Asia,14.058324,108.277199,310889376.0,5501312.0,5042036.0,41271.0
Wallis and Futuna,12849.0,6450.0,,11094.0,Oceania,-13.768752,-177.156097,162135.0,2366.0,454.0,7.0
Yemen,784792.0,624837.0,,30490639.0,Asia,15.552727,48.516388,3539201.0,729415.0,11782.0,2138.0
Zambia,3131843.0,2740205.0,33684.0,18920657.0,Africa,-13.133897,27.849332,75515374.0,1168110.0,314641.0,3960.0
Zimbabwe,7991667.0,4396711.0,167195.0,15092171.0,Africa,-19.015438,29.154857,47021227.0,1427132.0,240349.0,5400.0
